epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,565.701,1.25275,0.79151,1.13451,0.87622,0.81809,0.9133,0.60161,1.21174,0.71408,1.15959,0.0095941,0.0095941,0.0095941
43,576.7,1.26679,0.77551,1.14472,0.88707,0.82798,0.92168,0.6,1.23714,0.70332,1.1621,0.0095842,0.0095842,0.0095842
44,587.956,1.2607,0.78528,1.13555,0.87744,0.80749,0.91116,0.59384,1.23179,0.71853,1.15601,0.0095743,0.0095743,0.0095743
45,599.14,1.25694,0.77612,1.14154,0.87806,0.81648,0.9123,0.60213,1.20428,0.70965,1.14113,0.0095644,0.0095644,0.0095644
46,610.122,1.25,0.77213,1.13496,0.88074,0.81653,0.90726,0.59325,1.22564,0.72838,1.16364,0.0095545,0.0095545,0.0095545
47,621.139,1.23975,0.76074,1.13118,0.88106,0.82338,0.91253,0.59655,1.22639,0.71628,1.1512,0.0095446,0.0095446,0.0095446
48,632.163,1.23731,0.76874,1.1337,0.89404,0.82554,0.92119,0.6103,1.20422,0.67805,1.1488,0.0095347,0.0095347,0.0095347
49,643.106,1.24749,0.77494,1.13538,0.88606,0.82904,0.91842,0.60581,1.2147,0.68885,1.15156,0.0095248,0.0095248,0.0095248
50,654.154,1.25242,0.76671,1.13405,0.89534,0.82904,0.92576,0.60826,1.21704,0.68984,1.1551,0.0095149,0.0095149,0.0095149
51,665.202,1.24024,0.76544,1.12963,0.88661,0.81477,0.91345,0.59249,1.2433,0.70773,1.16921,0.009505,0.009505,0.009505
52,676.262,1.24027,0.76364,1.13359,0.86566,0.83822,0.91739,0.60423,1.22187,0.69202,1.1514,0.0094951,0.0094951,0.0094951
53,687.251,1.22887,0.7567,1.12626,0.86075,0.80349,0.90151,0.599,1.20228,0.73663,1.16005,0.0094852,0.0094852,0.0094852
54,698.269,1.23722,0.75923,1.13514,0.87593,0.82544,0.91222,0.6029,1.21248,0.71917,1.1566,0.0094753,0.0094753,0.0094753
55,709.306,1.23467,0.75547,1.1288,0.87744,0.79301,0.89848,0.58502,1.26891,0.74446,1.17638,0.0094654,0.0094654,0.0094654
56,720.344,1.23445,0.75223,1.12893,0.87497,0.83257,0.92009,0.60005,1.21116,0.71783,1.16685,0.0094555,0.0094555,0.0094555
57,731.341,1.22238,0.74864,1.12853,0.88414,0.8383,0.92366,0.6051,1.21956,0.67663,1.15635,0.0094456,0.0094456,0.0094456
