epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,667.012,1.24703,0.77709,1.13256,0.87722,0.82904,0.91863,0.60037,1.23047,0.70265,1.16951,0.0095941,0.0095941,0.0095941
43,678.091,1.25359,0.76679,1.14423,0.88737,0.82374,0.92062,0.60615,1.22646,0.68103,1.15835,0.0095842,0.0095842,0.0095842
44,689.127,1.25401,0.77503,1.13191,0.88921,0.81561,0.91823,0.60359,1.22272,0.70347,1.14501,0.0095743,0.0095743,0.0095743
45,700.488,1.25144,0.77424,1.13827,0.87153,0.79265,0.89957,0.59691,1.22226,0.75445,1.15724,0.0095644,0.0095644,0.0095644
46,711.55,1.24059,0.7655,1.13329,0.88659,0.80819,0.9125,0.60161,1.23933,0.71756,1.16038,0.0095545,0.0095545,0.0095545
47,722.57,1.23493,0.75565,1.13246,0.88475,0.83751,0.92323,0.60648,1.23684,0.69063,1.15965,0.0095446,0.0095446,0.0095446
48,733.67,1.23117,0.76061,1.13508,0.87463,0.82974,0.9198,0.60276,1.2314,0.68743,1.1701,0.0095347,0.0095347,0.0095347
49,744.7,1.2446,0.76164,1.13315,0.89223,0.83634,0.92815,0.60816,1.21866,0.68513,1.15436,0.0095248,0.0095248,0.0095248
50,755.979,1.24155,0.75431,1.12938,0.88234,0.81773,0.91682,0.60169,1.2125,0.70232,1.15206,0.0095149,0.0095149,0.0095149
51,767.117,1.23678,0.75488,1.12921,0.88027,0.82326,0.9176,0.60446,1.23052,0.6926,1.16265,0.009505,0.009505,0.009505
52,778.26,1.23617,0.75689,1.13351,0.88515,0.83848,0.9218,0.6053,1.2237,0.68747,1.15455,0.0094951,0.0094951,0.0094951
53,789.916,1.2269,0.74901,1.1287,0.86901,0.83857,0.9214,0.6109,1.19558,0.71179,1.16307,0.0094852,0.0094852,0.0094852
54,801.048,1.23168,0.74597,1.13486,0.87836,0.84105,0.92173,0.61161,1.21341,0.68564,1.14918,0.0094753,0.0094753,0.0094753
55,812.23,1.23035,0.75458,1.12565,0.8664,0.76051,0.87455,0.55836,1.31297,0.78312,1.2044,0.0094654,0.0094654,0.0094654
56,823.469,1.22655,0.74163,1.12784,0.87645,0.83327,0.92566,0.60874,1.21016,0.6851,1.16622,0.0094555,0.0094555,0.0094555
57,834.643,1.21845,0.7441,1.1296,0.87852,0.84808,0.92425,0.61332,1.20375,0.69548,1.15232,0.0094456,0.0094456,0.0094456
58,845.808,1.23609,0.74303,1.12474,0.8755,0.83221,0.91907,0.6079,1.21084,0.68023,1.15685,0.0094357,0.0094357,0.0094357
59,856.973,1.21578,0.7398,1.12234,0.87271,0.83793,0.91958,0.6112,1.1924,0.69185,1.13771,0.0094258,0.0094258,0.0094258
60,868.085,1.22491,0.74023,1.12671,0.88349,0.83301,0.9193,0.60522,1.21985,0.68757,1.16005,0.0094159,0.0094159,0.0094159
61,879.252,1.22467,0.73132,1.12056,0.88605,0.8295,0.91943,0.61182,1.21674,0.68788,1.16113,0.009406,0.009406,0.009406
62,890.364,1.21267,0.73177,1.11993,0.88864,0.83715,0.92571,0.60599,1.20961,0.69477,1.15872,0.0093961,0.0093961,0.0093961
63,901.545,1.2251,0.73343,1.11997,0.88688,0.82804,0.92338,0.61571,1.19234,0.68734,1.1477,0.0093862,0.0093862,0.0093862
64,912.621,1.23907,0.74347,1.12982,0.89619,0.82331,0.91997,0.60708,1.23928,0.67891,1.15657,0.0093763,0.0093763,0.0093763
65,923.644,1.21375,0.72365,1.11831,0.88274,0.82699,0.92131,0.60546,1.22004,0.69296,1.14251,0.0093664,0.0093664,0.0093664
66,934.827,1.21373,0.71765,1.11038,0.88436,0.84552,0.92464,0.61388,1.21287,0.66487,1.14788,0.0093565,0.0093565,0.0093565
67,945.907,1.21083,0.71522,1.11609,0.88098,0.8367,0.92424,0.61259,1.21616,0.66783,1.15369,0.0093466,0.0093466,0.0093466
68,957.004,1.21464,0.72685,1.11742,0.88323,0.83627,0.92244,0.61723,1.20812,0.64859,1.14621,0.0093367,0.0093367,0.0093367
69,968.042,1.21339,0.71086,1.12135,0.88768,0.8431,0.92648,0.61838,1.19303,0.66294,1.15402,0.0093268,0.0093268,0.0093268
70,979.108,1.21638,0.72158,1.11693,0.88439,0.84574,0.93244,0.62176,1.2021,0.66964,1.14263,0.0093169,0.0093169,0.0093169
71,990.227,1.21737,0.71718,1.11728,0.87796,0.83787,0.92239,0.61794,1.20558,0.66175,1.14131,0.009307,0.009307,0.009307
72,1001.26,1.20494,0.71055,1.11506,0.89054,0.83339,0.92293,0.61195,1.21388,0.66257,1.14965,0.0092971,0.0092971,0.0092971
73,1012.22,1.19592,0.70956,1.10644,0.88193,0.84175,0.92436,0.61351,1.22,0.65801,1.15433,0.0092872,0.0092872,0.0092872
74,1023.29,1.19207,0.70412,1.10891,0.89034,0.84988,0.93107,0.61592,1.20895,0.66823,1.15081,0.0092773,0.0092773,0.0092773
75,1034.33,1.20302,0.70466,1.11024,0.89208,0.83116,0.92495,0.61177,1.22233,0.65926,1.15936,0.0092674,0.0092674,0.0092674
76,1045.31,1.20598,0.71462,1.11842,0.89015,0.85009,0.93272,0.62285,1.205,0.64196,1.14838,0.0092575,0.0092575,0.0092575
77,1056.32,1.21584,0.71944,1.11805,0.88296,0.84208,0.92851,0.61428,1.20673,0.65581,1.15635,0.0092476,0.0092476,0.0092476
78,1067.5,1.19543,0.70615,1.11138,0.89103,0.84917,0.93008,0.61938,1.2078,0.64409,1.14962,0.0092377,0.0092377,0.0092377
79,1078.44,1.18706,0.70308,1.11629,0.87394,0.85871,0.93262,0.62275,1.20514,0.65114,1.14614,0.0092278,0.0092278,0.0092278
80,1089.45,1.18758,0.703,1.10601,0.88766,0.85131,0.9314,0.61368,1.23071,0.64398,1.17489,0.0092179,0.0092179,0.0092179
81,1100.45,1.20887,0.70857,1.11472,0.87741,0.85376,0.92759,0.62171,1.19246,0.66145,1.14167,0.009208,0.009208,0.009208
82,1111.37,1.19224,0.70064,1.11323,0.88581,0.85164,0.93166,0.62315,1.20344,0.64976,1.14832,0.0091981,0.0091981,0.0091981
