fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.65974,0.00458,0.01265,0.88609,0.00049,3.35291,0.95,13.19913,0.75987,1.60991,0.01827,0.55752,0.49103,0.0,0.10868,0.27913,0.0,0.0,0.0,0.24894,0.0,0.96553,0.0,0.0
0.6566,0.0041,0.01254,0.85313,0.00049,3.02328,0.71232,11.68472,0.57384,1.47585,0.01827,0.66257,0.48166,0.0,0.11298,0.38113,0.0,0.0,0.0,0.24466,0.0,0.90273,0.0,0.0
0.65947,0.00278,0.01002,0.80863,0.0005,3.6488,0.81889,9.6573,0.51573,1.21146,0.01811,0.45684,0.40343,0.0,0.09227,0.3922,0.0,0.0,0.0,0.24265,0.0,0.7645,0.0,0.0
0.65391,0.0043,0.01249,0.84104,0.00055,3.05243,0.7646,11.41178,0.64632,1.43227,0.01827,0.64966,0.46651,0.0,0.10868,0.37702,0.0,0.0,0.0,0.24205,0.0,0.91735,0.0,0.0
0.65542,0.00404,0.0124,0.82441,0.00053,2.8664,0.74385,11.47331,0.58958,1.44362,0.0163,0.68087,0.48777,0.0,0.11562,0.40775,0.0,0.0,0.0,0.25729,0.0,0.9865,0.0,0.0
0.65852,0.0041,0.01022,0.85702,0.00053,2.71983,0.67668,12.09585,0.57384,1.85662,0.01116,0.65733,0.31761,0.0,0.10868,0.38883,0.0,0.0,0.0,0.24894,0.0,0.93895,0.0,0.0
0.6555,0.00407,0.01233,0.85927,0.00049,3.05243,0.69675,11.41834,0.60689,1.52686,0.01783,0.60661,0.49103,0.0,0.1082,0.39239,0.0,0.0,0.0,0.23872,0.0,0.87027,0.0,0.0
0.65307,0.00411,0.01257,0.81311,0.00052,2.32012,0.76768,11.93423,0.65292,1.32839,0.0205,0.68476,0.45512,0.0,0.12539,0.30146,0.0,0.0,0.0,0.23344,0.0,0.96106,0.0,0.0
0.65318,0.00384,0.00927,0.89042,0.00049,3.23262,0.64736,11.43195,0.57384,1.39854,0.02016,0.74483,0.55931,0.0,0.08811,0.49938,0.0,0.0,0.0,0.24613,0.0,1.0,0.0,0.0
0.65135,0.00373,0.0124,0.81817,0.00043,2.55621,0.72157,10.25972,0.57384,1.43364,0.01877,0.5492,0.55781,0.0,0.10868,0.58462,0.0,0.0,0.0,0.28148,0.0,0.89844,0.0,0.0
0.66088,0.00267,0.01065,0.80961,0.00047,3.20074,0.91401,8.37088,0.48996,1.30091,0.01991,0.4682,0.45379,0.0,0.08747,0.36779,0.0,0.0,0.0,0.24357,0.0,0.74554,0.0,0.0
0.66243,0.00284,0.01076,0.82954,0.00048,3.18861,0.91149,7.86059,0.49189,1.21933,0.01978,0.4682,0.45379,0.0,0.08853,0.36779,0.0,0.0,0.0,0.2656,0.0,0.69888,0.0,0.0
0.66147,0.00267,0.01092,0.82305,0.00045,3.20074,0.91401,8.37088,0.49028,1.32832,0.02002,0.4682,0.47293,0.0,0.08747,0.37405,0.0,0.0,0.0,0.24357,0.0,0.74554,0.0,0.0
0.65726,0.0041,0.01302,0.80233,0.00044,3.06198,0.76853,11.41876,0.60178,1.39854,0.02123,0.65733,0.4672,0.0,0.10868,0.45792,0.0,0.0,0.0,0.24894,0.0,0.89844,0.0,0.0
0.65883,0.0033,0.01065,0.80961,0.00053,2.16693,0.94119,8.06759,0.43917,1.21684,0.01778,0.45298,0.47591,0.0,0.10867,0.4251,0.0,0.0,0.0,0.30715,0.0,0.85031,0.0,0.0
0.65613,0.00451,0.01317,0.90339,0.00055,1.86772,0.64803,11.47331,0.49872,1.20747,0.01827,0.7159,0.56062,0.0,0.10875,0.3466,0.0,0.0,0.0,0.21451,0.0,0.81725,0.0,0.0
0.6607,0.0035,0.0134,0.85881,0.00047,3.05243,0.73303,11.50491,0.58535,1.48495,0.01843,0.72862,0.45732,0.0,0.12195,0.33171,0.0,0.0,0.0,0.27903,0.0,0.6326,0.0,0.0
