epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7453,1.26277,0.78624,1.14725,0.88609,0.83535,0.92446,0.61256,1.19174,0.69095,1.14661,0.00328829,0.00328829,0.00328829
2,63.9961,1.27529,0.79974,1.15368,0.85539,0.82586,0.90743,0.58778,1.22907,0.74985,1.16284,0.00661507,0.00661507,0.00661507
3,90.3988,1.27393,0.81935,1.16344,0.88511,0.79724,0.90091,0.57843,1.24277,0.75597,1.18766,0.00993524,0.00993524,0.00993524
4,116.111,1.31444,0.84346,1.16923,0.88752,0.80274,0.90588,0.58787,1.24135,0.75295,1.1577,0.0099703,0.0099703,0.0099703
5,142.319,1.29014,0.82809,1.16539,0.888,0.81215,0.91571,0.59865,1.24377,0.73109,1.1467,0.0099604,0.0099604,0.0099604
6,168.093,1.30573,0.83857,1.16054,0.8675,0.81175,0.9077,0.59061,1.24233,0.74083,1.16547,0.0099505,0.0099505,0.0099505
7,193.595,1.29304,0.81665,1.15629,0.8658,0.80714,0.90258,0.59325,1.22637,0.74283,1.15065,0.0099406,0.0099406,0.0099406
8,221.726,1.30604,0.83543,1.16046,0.87156,0.78276,0.88941,0.56664,1.29922,0.76318,1.1899,0.0099307,0.0099307,0.0099307
9,247.338,1.29741,0.82498,1.15748,0.87374,0.81885,0.90946,0.58696,1.25561,0.76274,1.16722,0.0099208,0.0099208,0.0099208
10,273.171,1.29748,0.82727,1.15715,0.85065,0.79065,0.88286,0.56777,1.2675,0.84036,1.18552,0.0099109,0.0099109,0.0099109
11,299.341,1.28953,0.81696,1.15204,0.86877,0.78341,0.89029,0.58946,1.24734,0.82558,1.1604,0.009901,0.009901,0.009901
12,324.874,1.29189,0.81352,1.1533,0.88307,0.78453,0.89775,0.58847,1.25098,0.75565,1.15517,0.0098911,0.0098911,0.0098911
13,351.13,1.27844,0.8077,1.15697,0.8973,0.78877,0.90441,0.59367,1.20519,0.73672,1.14506,0.0098812,0.0098812,0.0098812
14,376.469,1.2881,0.81504,1.16138,0.88372,0.80804,0.91435,0.59152,1.24517,0.7618,1.16469,0.0098713,0.0098713,0.0098713
15,401.784,1.28587,0.80367,1.15547,0.87996,0.81561,0.91176,0.60241,1.22962,0.72832,1.14964,0.0098614,0.0098614,0.0098614
16,428.495,1.2822,0.7989,1.15394,0.86955,0.79901,0.90147,0.58472,1.23423,0.75825,1.16213,0.0098515,0.0098515,0.0098515
17,454.067,1.2685,0.78787,1.14948,0.86674,0.82252,0.9092,0.59356,1.22528,0.72967,1.16442,0.0098416,0.0098416,0.0098416
18,480.445,1.28158,0.80605,1.15232,0.86157,0.81122,0.90114,0.57174,1.30832,0.74944,1.18821,0.0098317,0.0098317,0.0098317
19,506.301,1.27314,0.78724,1.14965,0.87011,0.82342,0.91217,0.59438,1.22414,0.76265,1.15671,0.0098218,0.0098218,0.0098218
20,532.912,1.2766,0.79864,1.15803,0.8699,0.81773,0.90703,0.58384,1.22646,0.75989,1.16134,0.0098119,0.0098119,0.0098119
21,558.405,1.27082,0.79353,1.15126,0.87984,0.81703,0.91575,0.60754,1.206,0.71821,1.13824,0.009802,0.009802,0.009802
22,583.732,1.26591,0.79503,1.13971,0.86423,0.81168,0.90412,0.58497,1.24976,0.73742,1.16175,0.0097921,0.0097921,0.0097921
23,608.968,1.25752,0.77308,1.14175,0.87805,0.82911,0.92015,0.60785,1.21347,0.70264,1.15098,0.0097822,0.0097822,0.0097822
24,635.707,1.27025,0.78952,1.15083,0.88205,0.82678,0.91128,0.58851,1.25758,0.72316,1.17183,0.0097723,0.0097723,0.0097723
25,662.311,1.25933,0.7746,1.14839,0.86821,0.80396,0.8977,0.58098,1.26939,0.73143,1.18429,0.0097624,0.0097624,0.0097624
26,687.778,1.25841,0.78224,1.1454,0.8929,0.80925,0.91694,0.60559,1.20199,0.70222,1.14623,0.0097525,0.0097525,0.0097525
27,715.316,1.25414,0.78111,1.13759,0.88679,0.8255,0.9208,0.60586,1.20883,0.70744,1.15356,0.0097426,0.0097426,0.0097426
28,740.782,1.27003,0.77737,1.15055,0.88905,0.82162,0.91945,0.60218,1.22581,0.70041,1.14749,0.0097327,0.0097327,0.0097327
