epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.094,1.7476,2.35788,1.35639,0.03834,0.69233,0.51793,0.24794,1.46898,2.70326,1.22524,0.000657658,0.000657658,0.000657658
2,27.7483,1.53277,1.32438,1.22739,0.81808,0.67467,0.80336,0.48441,1.41039,1.45365,1.19201,0.00131121,0.00131121,0.00131121
3,39.9233,1.43969,1.16848,1.20446,0.76879,0.67887,0.77708,0.45742,1.40461,1.17137,1.25148,0.00195157,0.00195157,0.00195157
4,52.0753,1.46103,1.12808,1.20832,0.8318,0.75132,0.8547,0.52806,1.33561,1.02793,1.18461,0.0019406,0.0019406,0.0019406
5,64.0173,1.38935,1.04818,1.19196,0.7966,0.72483,0.80277,0.49343,1.33123,1.30185,1.18486,0.0019208,0.0019208,0.0019208
6,75.9763,1.39074,1.03138,1.1781,0.85237,0.76475,0.86851,0.53539,1.32296,0.93391,1.18811,0.001901,0.001901,0.001901
7,87.9053,1.36768,0.97161,1.17705,0.86099,0.7789,0.88292,0.55907,1.30461,0.84614,1.171,0.0018812,0.0018812,0.0018812
8,99.8693,1.38299,0.97771,1.18629,0.8448,0.76616,0.87008,0.54576,1.31092,0.89731,1.18532,0.0018614,0.0018614,0.0018614
9,111.784,1.34047,0.92626,1.1651,0.86935,0.80619,0.89706,0.56486,1.28459,0.8457,1.15245,0.0018416,0.0018416,0.0018416
10,123.683,1.35992,0.93731,1.17352,0.82876,0.71289,0.80484,0.51156,1.30934,0.98213,1.20836,0.0018218,0.0018218,0.0018218
11,135.445,1.32964,0.91002,1.16062,0.8517,0.77323,0.88129,0.56496,1.27349,0.8254,1.15305,0.001802,0.001802,0.001802
12,147.434,1.34163,0.9159,1.16312,0.86185,0.79371,0.89298,0.57662,1.25527,0.78474,1.14555,0.0017822,0.0017822,0.0017822
13,159.355,1.3112,0.88308,1.15838,0.86927,0.80797,0.90288,0.58336,1.26166,0.76037,1.15565,0.0017624,0.0017624,0.0017624
14,171.288,1.32023,0.88222,1.16389,0.85525,0.8029,0.89612,0.57498,1.24028,0.80356,1.16296,0.0017426,0.0017426,0.0017426
15,183.124,1.30453,0.86369,1.15271,0.88451,0.79583,0.90173,0.58497,1.2539,0.76826,1.15003,0.0017228,0.0017228,0.0017228
16,194.947,1.31553,0.8563,1.16021,0.84719,0.78947,0.88614,0.55723,1.29604,0.86334,1.17801,0.001703,0.001703,0.001703
17,206.922,1.29672,0.84094,1.15044,0.88261,0.80325,0.9033,0.58611,1.25876,0.76177,1.14748,0.0016832,0.0016832,0.0016832
18,218.735,1.30899,0.84717,1.15423,0.88772,0.77081,0.89521,0.58578,1.22973,0.78363,1.14573,0.0016634,0.0016634,0.0016634
