epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,506.324,1.19172,0.71396,1.11075,0.88762,0.8414,0.92561,0.62056,1.19128,0.65301,1.14696,0.0011882,0.0011882,0.0011882
43,518.204,1.20627,0.71068,1.12001,0.89654,0.84069,0.92937,0.62337,1.1953,0.65418,1.13836,0.0011684,0.0011684,0.0011684
44,530.119,1.21119,0.71706,1.11581,0.8819,0.8309,0.92059,0.61079,1.20032,0.68295,1.14774,0.0011486,0.0011486,0.0011486
45,542.12,1.2049,0.70585,1.11807,0.88169,0.82727,0.91617,0.61583,1.19431,0.67338,1.14239,0.0011288,0.0011288,0.0011288
46,554.05,1.20113,0.70497,1.11541,0.89102,0.82017,0.91811,0.61118,1.21141,0.6746,1.14724,0.001109,0.001109,0.001109
47,565.956,1.19371,0.69837,1.11272,0.8796,0.85677,0.92762,0.62001,1.20384,0.65453,1.14232,0.0010892,0.0010892,0.0010892
48,577.892,1.18678,0.69927,1.10966,0.89922,0.82891,0.92617,0.62121,1.19274,0.6525,1.13809,0.0010694,0.0010694,0.0010694
49,589.731,1.19786,0.70381,1.11258,0.88978,0.84405,0.9277,0.62449,1.18544,0.64995,1.13331,0.0010496,0.0010496,0.0010496
50,601.9,1.19655,0.69959,1.10825,0.87927,0.84811,0.92937,0.62334,1.1904,0.65851,1.14536,0.0010298,0.0010298,0.0010298
51,614.054,1.18569,0.69331,1.10658,0.89633,0.83787,0.92787,0.62652,1.18802,0.64697,1.13311,0.00101,0.00101,0.00101
52,626.06,1.18445,0.69266,1.10692,0.88269,0.86112,0.93403,0.62936,1.19495,0.62347,1.13164,0.0009902,0.0009902,0.0009902
53,637.936,1.18348,0.68577,1.10619,0.88989,0.84785,0.93142,0.62614,1.17521,0.64058,1.13244,0.0009704,0.0009704,0.0009704
54,649.875,1.17349,0.68178,1.10319,0.87019,0.86669,0.92704,0.61898,1.19963,0.65239,1.13892,0.0009506,0.0009506,0.0009506
55,661.807,1.18088,0.68907,1.10103,0.8756,0.84105,0.91716,0.60484,1.23857,0.66182,1.16842,0.0009308,0.0009308,0.0009308
56,673.612,1.1713,0.6841,1.09991,0.90266,0.84182,0.93327,0.62748,1.19674,0.63305,1.13737,0.000911,0.000911,0.000911
57,685.526,1.16346,0.67985,1.09875,0.89803,0.85659,0.93312,0.62766,1.19213,0.62786,1.1314,0.0008912,0.0008912,0.0008912
58,697.399,1.18039,0.68058,1.09903,0.88934,0.84601,0.93134,0.61994,1.21306,0.63888,1.15531,0.0008714,0.0008714,0.0008714
59,709.29,1.16141,0.6819,1.09572,0.88663,0.84534,0.92491,0.61511,1.21079,0.64399,1.15052,0.0008516,0.0008516,0.0008516
60,721.232,1.16907,0.68394,1.10346,0.88628,0.84776,0.92955,0.61995,1.19689,0.65869,1.13778,0.0008318,0.0008318,0.0008318
61,733.234,1.17435,0.66933,1.09797,0.89791,0.85129,0.93105,0.61657,1.23105,0.62848,1.16367,0.000812,0.000812,0.000812
62,745.084,1.16227,0.66563,1.09795,0.88188,0.85972,0.9328,0.6219,1.1958,0.64383,1.14829,0.0007922,0.0007922,0.0007922
63,756.89,1.16891,0.67302,1.09364,0.8934,0.85559,0.93212,0.62477,1.1931,0.62732,1.1419,0.0007724,0.0007724,0.0007724
64,768.826,1.17869,0.68107,1.09986,0.88476,0.84882,0.92973,0.62241,1.19883,0.63367,1.13483,0.0007526,0.0007526,0.0007526
65,780.685,1.15818,0.66317,1.08997,0.90133,0.84215,0.93208,0.62828,1.17914,0.63612,1.13012,0.0007328,0.0007328,0.0007328
66,792.542,1.1612,0.66373,1.08916,0.89304,0.85588,0.93341,0.63074,1.19077,0.62098,1.12681,0.000713,0.000713,0.000713
67,804.375,1.16047,0.65801,1.09156,0.88672,0.85717,0.93262,0.62849,1.18524,0.62822,1.13346,0.0006932,0.0006932,0.0006932
68,816.208,1.16425,0.66871,1.09192,0.89662,0.85623,0.93175,0.62991,1.19128,0.62215,1.12887,0.0006734,0.0006734,0.0006734
69,827.974,1.15533,0.65558,1.09074,0.89386,0.85482,0.93102,0.63182,1.17389,0.62569,1.13361,0.0006536,0.0006536,0.0006536
70,839.808,1.15563,0.65992,1.08611,0.88803,0.84528,0.93295,0.62645,1.19412,0.61772,1.13771,0.0006338,0.0006338,0.0006338
71,851.676,1.15954,0.65117,1.09085,0.88073,0.86718,0.93473,0.62776,1.19848,0.61825,1.14031,0.000614,0.000614,0.000614
72,863.571,1.14725,0.65097,1.08491,0.89323,0.858,0.93334,0.62973,1.18606,0.61675,1.1318,0.0005942,0.0005942,0.0005942
73,875.389,1.13387,0.64894,1.07589,0.89155,0.85023,0.92962,0.62863,1.18891,0.62783,1.1303,0.0005744,0.0005744,0.0005744
74,887.464,1.13629,0.6404,1.07933,0.89717,0.85164,0.92904,0.62713,1.2015,0.61974,1.13868,0.0005546,0.0005546,0.0005546
